Year,Name,team,salary,bloodType,height,weight,UniformNum,position,Games,AtBats,Hit,HR,Win,Lose,Save,Hold
2011年度,ブランコ,Dragons,14400,A型,188,102,42,内野手,78,278,69,16,NA,NA,NA,NA
2011年度,浅尾　拓也,Dragons,13500,A型,182,75,41,投手,79,NA,NA,NA,7,2,10,45
2011年度,吉見　一起,Dragons,12000,A型,182,91,19,投手,26,NA,NA,NA,18,3,0,0
2011年度,中田　賢一,Dragons,7200,O型,180,78,20,投手,6,NA,NA,NA,2,3,0,0
2011年度,朝倉　健太,Dragons,7125,O型,186,94,14,投手,2,NA,NA,NA,0,1,0,0
2011年度,高橋　聡文,Dragons,7000,A型,176,85,67,投手,2,NA,NA,NA,0,0,0,1
2011年度,平井　正史,Dragons,7000,O型,185,97,33,投手,33,NA,NA,NA,1,1,0,5
2011年度,山井　大介,Dragons,4200,A型,179,82,29,投手,10,NA,NA,NA,3,3,0,1
2011年度,ネルソン,Dragons,4000,B型,204,86,49,投手,31,NA,NA,NA,10,14,0,0
2011年度,小笠原　孝,Dragons,3900,A型,173,80,43,投手,1,NA,NA,NA,0,0,0,0
2011年度,英智,Dragons,3600,O型,182,74,24,外野手,56,20,2,0,NA,NA,NA,NA
2011年度,小田　幸平,Dragons,3300,A型,180,84,52,捕手,40,61,10,0,NA,NA,NA,NA
2011年度,小林　正人,Dragons,3200,A型,181,86,69,投手,58,NA,NA,NA,5,0,0,18
2011年度,鈴木　義広,Dragons,3100,A型,188,88,23,投手,55,NA,NA,NA,2,1,0,12
2011年度,三瀬　幸司,Dragons,2900,A型,177,77,39,投手,44,NA,NA,NA,1,1,0,7
2011年度,小池　正晃,Dragons,2900,A型,183,88,44,外野手,73,127,34,5,NA,NA,NA,NA
2011年度,藤井　淳志,Dragons,2800,O型,182,81,4,外野手,20,50,12,0,NA,NA,NA,NA
2011年度,川井　雄太,Dragons,2550,O型,178,77,17,投手,16,NA,NA,NA,5,3,0,0
2011年度,グスマン,Dragons,2520,O型,196,113,45,外野手,73,238,43,7,NA,NA,NA,NA
2011年度,河原　純一,Dragons,2250,A型,183,74,60,投手,30,NA,NA,NA,1,4,0,10
2011年度,野本　圭,Dragons,2200,B型,180,81,9,外野手,78,159,36,2,NA,NA,NA,NA
2011年度,岩崎　達郎,Dragons,2100,O型,175,75,46,内野手,51,78,17,0,NA,NA,NA,NA
2011年度,大島　洋平,Dragons,1800,A型,176,74,8,外野手,96,300,73,3,NA,NA,NA,NA
2011年度,小山　桂司,Dragons,1800,A型,175,81,65,捕手,51,82,23,1,NA,NA,NA,NA
2011年度,堂上　直倫,Dragons,1700,O型,184,82,1,内野手,62,115,24,2,NA,NA,NA,NA
2011年度,大野　雄大,Dragons,1500,O型,183,78,22,投手,1,NA,NA,NA,0,1,0,0
2011年度,佐伯　貴弘,Dragons,1500,AB型,186,90,7,内野手,64,109,22,1,NA,NA,NA,NA
2011年度,山内　壮馬,Dragons,1500,AB型,181,83,26,投手,11,NA,NA,NA,3,2,0,1
2011年度,岩田　慎司,Dragons,1300,B型,181,80,28,投手,5,NA,NA,NA,0,4,0,0
2011年度,カラスコ,Dragons,1260,不明,186,104,48,内野手,3,4,0,0,NA,NA,NA,NA
2011年度,堂上　剛裕,Dragons,1200,O型,183,85,63,外野手,64,108,31,1,NA,NA,NA,NA
2011年度,武藤　祐太,Dragons,1200,O型,178,85,25,投手,7,NA,NA,NA,0,0,0,0
2011年度,平田　良介,Dragons,1200,B型,177,88,40,外野手,113,330,84,11,NA,NA,NA,NA
2011年度,久本　祐一,Dragons,1120,O型,177,77,61,投手,10,NA,NA,NA,1,0,0,0
2011年度,松井　佑介,Dragons,1100,O型,183,83,56,外野手,4,8,1,0,NA,NA,NA,NA
2011年度,中田　亮二,Dragons,1020,A型,171,107,50,内野手,26,46,11,0,NA,NA,NA,NA
2011年度,水田　圭介,Dragons,950,AB型,175,74,32,内野手,14,15,2,0,NA,NA,NA,NA
2011年度,谷　哲也,Dragons,800,A型,180,78,36,内野手,2,6,2,0,NA,NA,NA,NA
2011年度,松井　雅人,Dragons,780,A型,179,78,47,捕手,10,11,3,0,NA,NA,NA,NA
2011年度,前田　章宏,Dragons,770,O型,184,91,38,捕手,11,8,0,0,NA,NA,NA,NA
2011年度,伊藤　準規,Dragons,750,B型,186,72,18,投手,9,NA,NA,NA,2,4,0,0
2011年度,田中　大輔,Dragons,680,O型,175,81,58,捕手,4,6,0,0,NA,NA,NA,NA
2011年度,柳田　殖生,Dragons,680,A型,178,77,53,内野手,3,3,0,0,NA,NA,NA,NA
2011年度,福田　永将,Dragons,650,O型,181,80,55,内野手,12,17,4,2,NA,NA,NA,NA
2011年度,ソト,Dragons,650,不明,185,96,70,投手,22,NA,NA,NA,5,1,0,0
