Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
山崎　晃大朗,Swallows,1300,外野手,5,173,68,O型,左,左,和歌山,1993-08-11,31,0.245,109,323,282,69,3,23,8,31,1,70,7,5,0.32,0.305,0.625,3.09,3.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
松本　直樹,Swallows,1000,捕手,3,177,82,A型,右,右,香川,1993-10-17,32,0.231,6,14,13,3,0,0,0,1,0,3,0,0,0.286,0.231,0.516,2.37,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
クック,Swallows,6000,投手,1,190,97,不明,右,左,アメリカ,1990-11-02,33,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,0,3,0,0,0,82,16,29,2,3,1,6,19,14,2,4.75
山田　大樹,Swallows,2000,投手,14,189,99,B型,左,左,茨城,1988-07-30,34,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.31,0,2,0,0,0,36,8.2,8,1,4,0,4,8,8,1.38,5.08
杉山　晃基,Swallows,800,投手,1,182,84,A型,右,左,東京,1997-06-25,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
廣岡　大志,Swallows,1500,内野手,5,183,81,O型,右,右,大阪,1997-04-09,36,0.215,87,142,121,26,8,15,4,16,0,43,3,4,0.302,0.446,0.748,4.38,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
マクガフ,Swallows,10355,投手,2,180,86,不明,右,右,アメリカ,1989-10-31,37,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.91,4,1,0,23,0.8,195,46,42,4,15,3,52,20,20,1.24,3.1
梅野　雄吾,Swallows,3300,投手,4,175,84,A型,右,右,福岡,1999-01-13,38,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61,5,2,0,12,0.714,175,42.1,37,6,17,0,35,18,17,1.28,4.51
宮本　丈,Swallows,850,内野手,3,182,78,B型,右,左,大阪,1995-04-03,39,0.274,94,171,146,40,2,12,3,18,2,23,5,3,0.361,0.37,0.731,4.86,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
市川　悠太,Swallows,580,投手,2,184,75,A型,右,右,高知,2001-03-29,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
雄平,Swallows,10000,外野手,18,174,83,A型,左,左,神奈川,1984-06-25,41,0.223,43,113,103,23,0,9,3,6,1,23,0,2,0.265,0.262,0.528,2.33,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
坂口　智隆,Swallows,11500,外野手,18,181,82,O型,右,左,兵庫,1984-07-07,42,0.246,114,458,398,98,9,36,4,47,7,60,3,8,0.334,0.354,0.688,4.09,4.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
スアレス,Swallows,4360,投手,2,190,106,不明,右,右,ベネズエラ,1989-10-08,43,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.67,4,4,0,0,0.5,285,67.1,56,4,27,6,52,25,20,1.23,3.77
